,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP,id,SAMPLE,ROCK
3156,32.14,8.86,4.15,0.17,19.83,32.59,0.63,0.56,0.03,0.1,0.28,0.41,0,0,0.25,0,0,0.03,0,0,0.07,0,ANDRADITE,GARNET,NA,NA,NA
3157,33.44,5.98,4.35,0.05,20.13,32.55,0.42,0.87,0,0.08,0.11,0.36,0,0,0.12,0,0,0,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3158,33.17,7.14,0.98,0.15,23.33,31.34,0.28,0.8,0.01,0.18,0.15,0.41,0,0,0.36,0,0,0.1,0,0,0.4,0,ANDRADITE,GARNET,NA,NA,NA
3159,30.5,11.83,0.7,0.16,20.56,31.26,0.76,0.87,0.16,0.37,0.74,0,0.1,0.03,0.64,0,0,0,0,0,2.34,0,ANDRADITE,GARNET,NA,NA,NA
3160,29.75,14.6,1.46,0.06,13.47,34.66,0.92,0.15,0.02,0.05,0.09,12.97,0.14,0.02,0.1,0,0,0.11,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3161,33.27,6.03,1.68,0.03,23.3,33.39,0.78,0.46,0.01,0.12,0.04,0.38,0,0,0.08,0,0,0.11,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3162,35.5,4.93,3.03,0,22.44,32.18,1.04,0.05,0.01,0.03,0.09,0.38,0.01,0,0.13,0,0,0.09,0,0,0.05,0,ANDRADITE,GARNET,NA,NA,NA
3163,33.23,7.47,2.04,0.04,22.07,33.37,0.94,0.4,0.04,0.28,0.1,0.38,0,0.01,0.1,0,0,0.11,0,0,0.54,0,ANDRADITE,GARNET,NA,NA,NA
3164,34.44,1.63,2.11,0.01,24.03,31.35,1.31,0.35,0.09,0.04,0.18,0.36,0,0,0.04,0,0,0.02,0,0,0.5,0,ANDRADITE,GARNET,NA,NA,NA
3165,12.84,5.15,7.5,0.16,14.69,28.95,0.41,0.1,2.19,0.05,0.55,7.06,0,0.02,0.36,0,0,0.13,0,0,28.69,0,ANDRADITE,GARNET,NA,NA,NA
3166,35.01,3.51,6.95,0,20.6,31.69,0.33,1.31,0.01,0.04,0.08,0.36,0,0,0.07,0,0,0,0,0,0.2,0,ANDRADITE,GARNET,NA,NA,NA
3167,29.4,14.39,2.4,0.07,17.52,34.04,1.04,0.36,0.02,0.07,0.1,0.38,0.01,0,0.06,0,0,0.01,0,0,0.3,0,ANDRADITE,GARNET,NA,NA,NA
3168,35.32,0.99,21.96,0.1,25.65,0.34,0.89,15.36,0,0.14,0.5,0,0.09,0.03,0.29,0,0,0.03,0,0,4.93,0,ANDRADITE,GARNET,NA,NA,NA
3169,37.89,0.06,25.02,0,9.96,23.18,0.02,0.1,0.18,0,0.09,0.41,0.14,0.02,0.04,0,0,0.04,0,0,6.06,0,ANDRADITE,GARNET,NA,NA,NA
3170,32.07,7.18,4.13,0.01,20.6,32.56,0.5,0.77,0.01,0.12,0.06,0.36,0,0,0.07,0,0,0.03,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3171,35.57,0.85,10.51,0.11,18.4,33.73,0.43,0.18,0.09,0.07,0.05,0.41,0.12,0,0.08,0,0,0.07,0,0,0.77,0,ANDRADITE,GARNET,NA,NA,NA
3172,26.86,18.43,0.9,0.18,19.69,31.67,1.14,0.34,0.04,0.47,0.1,0.38,0.95,0.01,0.09,0,0,0.12,0,0,0.7,0,ANDRADITE,GARNET,NA,NA,NA
3173,38.93,0.19,22.72,0.01,7.04,19.67,10.83,0.11,0.03,0.24,0.05,0.36,0.07,0,0.04,0,0,0.02,0,0,0.73,0,ANDRADITE,GARNET,NA,NA,NA
3174,12.63,5.86,7.4,0.44,13.63,29.06,0.38,0.09,1.52,0.04,0.55,7.85,0,0.03,0.25,0,0,0.1,0,0,27.73,0,ANDRADITE,GARNET,NA,NA,NA
3175,34.21,1.95,1.45,0.01,23.03,33.23,0.23,0.42,0.04,0.06,0.13,0,0,0,0.14,0,0,0.03,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3176,35.78,1.43,8.81,0.02,19.25,34.58,0.19,0.21,0.01,0.02,0.05,0.2,0,0,0.05,0,0,0.08,0,0,0.33,0,ANDRADITE,GARNET,NA,NA,NA
3177,33.66,6.23,3.83,0.01,21.25,32.91,0.46,0.74,0.06,0.09,0.11,0,0,0.01,0.09,0,0,0.03,0,0,0.14,0,ANDRADITE,GARNET,NA,NA,NA
3178,33.9,4.18,3.58,0.1,22.95,31.44,0.26,1.52,0.04,0.22,0.12,0,0,0,0.4,0,0,0.01,0,0,1.1,0,ANDRADITE,GARNET,NA,NA,NA
3179,34.8,3.46,2.31,0.04,23.36,33.4,0.24,0.27,0.01,0.07,0.04,0.38,0,0,0.1,0,0,0.1,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3180,34.91,3.52,4.37,0.04,20.01,34.07,0.38,0.18,0.04,0,0.1,0.38,0,0.01,0.06,0,0,0.1,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3181,29.18,13.56,0.32,0.25,22.47,31.46,0.6,0.37,0,0.44,0.07,0,0.19,0,0.09,0,0,0.02,0,0,0.65,0,ANDRADITE,GARNET,NA,NA,NA
3182,35.28,2.3,4.96,0.02,21.16,33.61,0.55,0.38,0.03,0.03,0.04,0.41,0,0,0.03,0,0,0.01,0,0,0.04,0,ANDRADITE,GARNET,NA,NA,NA
3183,12.6,5.36,7.6,0.17,13.97,28.87,0.34,0.05,0.25,0.06,0.74,7.06,0,0.03,0.69,0,0,0.12,0,0,28.89,0,ANDRADITE,GARNET,NA,NA,NA
3184,33,1.88,2.78,0.02,22.84,32.15,0.26,0.77,0,0.03,0.05,0,0,0.01,0,0,0,0.04,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3185,35.64,6.59,3.82,0,18.73,33.61,0.79,0,0.01,0.15,0.04,0.2,0.02,0.01,0.05,0,0,0.1,0,0,2.73,0,ANDRADITE,GARNET,NA,NA,NA
3186,32.6,7.13,2.57,0.03,22.5,31.75,0.53,0.7,0.02,0.1,0.04,0,0,0,0.03,0,0,0.02,0,0,0.18,0,ANDRADITE,GARNET,NA,NA,NA
3187,36.87,0.2,20.17,0.04,11.91,0.14,0.58,28.11,0,0.03,0.1,0.36,0.06,0.03,0.07,0,0,0.1,0,0,0.25,0,ANDRADITE,GARNET,NA,NA,NA
3188,35.09,3.1,1.37,0,27.98,31.68,0.24,0.47,0,0.15,0.06,0.36,0,0,0.04,0,0,0,0,0,0.41,0,ANDRADITE,GARNET,NA,NA,NA
3189,36.28,0.03,4.75,0,22.62,32.9,0.05,0.35,0,0,0.09,0.41,0,0,0.06,0,0,0.08,0,0,0.15,0,ANDRADITE,GARNET,NA,NA,NA
3190,32.22,10.36,1.87,0.11,21.34,33.22,1.27,0.46,0.02,0.06,0.1,0.41,0,0,0.08,0,0,0.12,0,0,0.04,0,ANDRADITE,GARNET,NA,NA,NA
3191,34.54,4.66,2.66,0,21.11,33.33,0.3,0.84,0.02,0.12,0.05,0.41,0,0.01,0.02,0,0,0.12,0,0,0.22,0,ANDRADITE,GARNET,NA,NA,NA
3192,35.18,0.88,19.94,0.14,30.32,1.25,0.16,9.86,0.1,0.07,0.15,0.36,0.07,0.03,0.22,0,0,0.06,0,0,4.66,0,ANDRADITE,GARNET,NA,NA,NA
3193,35.45,2.26,3.81,0,22.85,33.34,0.38,0.39,0,0.03,0.03,0.41,0,0,0.01,0,0,0.03,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3194,32.67,2.55,2.11,0.06,23.35,34.24,0.29,0.02,0.35,0.12,0.55,0.38,0,0.03,0.69,0,0,0.12,0,0,0.25,0,ANDRADITE,GARNET,NA,NA,NA
3195,29.44,13.72,1.06,0.21,19.87,31.16,0.62,0.63,0.1,0.3,0,0.41,0,0.01,0.09,0,0,0.11,0,0,0.54,0,ANDRADITE,GARNET,NA,NA,NA
3196,32.63,4.05,1.29,0.17,20.99,32.99,0.91,0,0.02,0.12,0.09,0.41,0.02,0,0.08,0,0,0.09,0,0,1.57,0,ANDRADITE,GARNET,NA,NA,NA
3197,35.29,0.02,2.23,0.03,24.08,32.72,0.43,0.16,0.03,0,0.03,0.41,0,0.04,0.05,0,0,0.09,0,0,0,0,ANDRADITE,GARNET,NA,NA,NA
3198,36.64,2.19,9.08,0.2,17.95,33,0.41,0.53,0.01,0,0.05,0,0,0,0.04,0,0,0.08,0,0,0.15,0,ANDRADITE,GARNET,NA,NA,NA
3199,32.34,8.8,3.13,0.09,19.5,32.74,0.55,0.48,0.04,0.12,0.13,0,0,0,0.09,0,0,0.02,0,0,0.12,0,ANDRADITE,GARNET,NA,NA,NA
3200,34.52,5.32,6.89,0.05,19.39,31.97,0.32,0.84,0.02,0.04,0.04,0,0,0,0.04,0,0,0.1,0,0,0.34,0,ANDRADITE,GARNET,NA,NA,NA
3201,38.56,0.82,15.36,3.6,8.39,35.34,0.78,0.19,0.02,0.3,0.06,0.2,0.3,0,0.06,0,0,0.02,0,0,0.42,0,GROSSULAR,GARNET,NA,NA,NA
3202,39.43,0.07,19.42,0.02,7.66,35.59,0.28,0.12,0,0,0.06,0.38,0.25,0.03,0.07,0,0,0.03,0,0,2.03,0,GROSSULAR,GARNET,NA,NA,NA
3203,38.93,0.02,20.69,0.01,9.97,35.27,0.33,0.1,0.3,0,0.05,0.38,0.11,0.02,0.05,0,0,0.1,0,0,0.68,0,GROSSULAR,GARNET,NA,NA,NA
3204,39.46,0.22,21.85,0,0.74,36.68,0.25,0.03,0,0.32,0.07,0.38,0.31,0,0.07,0,0,0,0,0,4.93,0,GROSSULAR,GARNET,NA,NA,NA
3205,39.48,0.41,21.97,0.02,0.65,35.9,0.24,0.23,0,1.65,0.1,0.38,0.31,0.02,0.08,0,0,0.15,0,0,1.99,0,GROSSULAR,GARNET,NA,NA,NA
3206,36.95,0.98,16.69,1.31,9.14,36.25,0.23,0.42,0.03,0.12,0.03,0.38,0.64,0.02,0.03,0,0,0.02,0,0,1.08,0,GROSSULAR,GARNET,NA,NA,NA
3207,38.95,0.05,23.42,0.01,0.69,37.13,0.04,0.17,0.01,0.05,0.04,0.38,0.21,0,0.01,0,0,0.07,0,0,0.19,0,GROSSULAR,GARNET,NA,NA,NA
3208,38.81,0.02,22.66,0.54,1.09,36.63,0.18,0.18,0.01,0.04,0.07,0.38,0.12,0,0.04,0,0,0.11,0,0,1.72,0,GROSSULAR,GARNET,NA,NA,NA
3209,39.17,0.73,20.4,2.41,9.47,5.09,17.93,0.44,0.02,0.23,0.06,0,0.07,0,0.07,0,0,0.01,0,0,1.73,0,GROSSULAR,GARNET,NA,NA,NA
3210,42.25,0.8,21.21,3.62,10.8,6.6,17.46,0.61,0.28,0.6,0.12,0.36,0.34,0.01,0.07,0,0,0.02,0,0,1.6,0,GROSSULAR,GARNET,NA,NA,NA
3211,40.48,0.18,20.74,3.09,13.26,11.34,11.69,0.23,0.18,0.34,0.28,0.41,0.25,0.01,0.21,0,0,0,0,0,1.16,0,GROSSULAR,GARNET,NA,NA,NA
3212,37.84,0.82,19.68,0.09,8.8,3.97,20.95,0.29,0.04,0.37,0.04,0.36,0.64,0,0.07,0,0,0.05,0,0,3.86,0,GROSSULAR,GARNET,NA,NA,NA
3213,42.94,0.81,21.29,0.18,8.39,4.03,20.8,0.32,0.02,0.52,0.1,0.36,0.24,0,0.11,0,0,0.01,0,0,2.66,0,GROSSULAR,GARNET,NA,NA,NA
3214,29.29,13.03,0.98,4.52,12.41,35.17,0.76,0.09,0,0.02,0.19,7.85,0.38,0.01,0.05,0,0,0.04,0,0,0,0,GROSSULAR,GARNET,NA,NA,NA
3215,38.82,1.06,19.41,4.3,8.24,5.47,20.83,0.14,0.02,0.18,0.06,0,0.1,0,0.07,0,0,0.01,0,0,0.57,0,GROSSULAR,GARNET,NA,NA,NA
3216,39.1,1.15,19.1,3.99,8.33,5.51,19.96,0.23,0.01,0.16,0.02,0.36,0.07,0,0.07,0,0,0.01,0,0,0.73,0,GROSSULAR,GARNET,NA,NA,NA
3217,39.41,0.08,21.9,0.4,10.12,19.28,8.24,0.21,0.02,0,0.05,0.36,0.12,0,0.06,0,0,0,0,0,1.16,0,GROSSULAR,GARNET,NA,NA,NA
3218,39.58,0.01,20.35,0.01,2.36,36.62,0.03,0.52,0.01,0.02,0.02,0.38,0.18,0,0.02,0,0,0.12,0,0,0.73,0,GROSSULAR,GARNET,NA,NA,NA
3219,39.75,0.01,20.96,0.69,0.92,37.33,0.01,0.1,0.01,0.01,0.03,0.38,0.02,0,0,0,0,0.08,0,0,1.11,0,GROSSULAR,GARNET,NA,NA,NA
3220,39.86,0,20.61,0.47,0.63,39.55,0.01,0.07,0,0.01,0.05,0.38,0.04,0.01,0.01,0,0,0.08,0,0,0.69,0,GROSSULAR,GARNET,NA,NA,NA
3221,39.18,0.02,20.36,0.06,0.76,39.06,0.03,0.03,0.03,0.05,0.02,0.41,0.21,0.01,0.02,0,0,0.11,0,0,0.25,0,GROSSULAR,GARNET,NA,NA,NA
3222,39.16,0.01,20.71,0.22,0.8,39.59,0.01,0.07,0,0.04,0.02,0.41,0.43,0.02,0.04,0,0,0.03,0,0,1.16,0,GROSSULAR,GARNET,NA,NA,NA
3223,40.45,0.01,22.27,0.44,1.19,36.24,0.02,0.09,0.04,0.06,0.06,0.41,0.12,0.01,0,0,0,0,0,0,0.2,0,GROSSULAR,GARNET,NA,NA,NA
3224,40.48,0.26,19.78,0.07,1.99,36.84,0.03,0.1,0.04,0.06,0.03,0.2,0.14,0.02,0.03,0,0,0.12,0,0,0.68,0,GROSSULAR,GARNET,NA,NA,NA
3225,38.43,1.32,13.48,0,10.44,35.19,0.55,0.38,0,0.01,0.03,0.41,0.24,0,0.03,0,0,0.04,0,0,0.51,0,GROSSULAR,GARNET,NA,NA,NA
3226,36.24,0.05,15.11,0.76,10.71,36.46,0,0.37,0.03,0,0.03,0.2,0.38,0.02,0.02,0,0,0.13,0,0,1.73,0,GROSSULAR,GARNET,NA,NA,NA
3227,36.8,0.98,14.6,0.29,12.22,36.26,0,0.78,0.02,0,0.03,0.41,0.42,0.01,0.06,0,0,0.03,0,0,1.98,0,GROSSULAR,GARNET,NA,NA,NA
3228,37.52,0,23.48,0.25,7.68,38.86,0,0.03,0,0,0.01,0.41,0.27,0,0.03,0,0,0,0,0,2.73,0,GROSSULAR,GARNET,NA,NA,NA
3229,37.57,1.82,17.15,2.17,7.32,37.61,0.12,0.27,0.01,0.04,0.01,0.2,0.3,0.01,0.07,0,0,0.08,0,0,0.47,0,GROSSULAR,GARNET,NA,NA,NA
3230,38.26,0.38,19.97,1.12,8.84,37.55,0,0.59,0.04,0.04,0.04,0,0,0.01,0.06,0,0,0,0,0,0,0,GROSSULAR,GARNET,NA,NA,NA
3231,37.26,1.45,17.07,0.67,9.1,37.41,0,0.36,0,0.05,0.02,0.38,0.31,0,0.06,0,0,0.08,0,0,0,0,GROSSULAR,GARNET,NA,NA,NA
3232,36.73,0.88,13.99,0.74,11.63,35.73,0,0.64,0.08,0.26,0.03,0.38,0.43,0.01,0.14,0,0,0,0,0,1.6,0,GROSSULAR,GARNET,NA,NA,NA
3233,38.22,0.49,20.65,0.35,8.97,37.88,0.13,0.29,0,0.01,0.09,0.2,0.33,0,0.05,0,0,0,0,0,1.85,0,GROSSULAR,GARNET,NA,NA,NA
3234,37.94,1.47,16.65,1.44,9.03,36.12,0.05,0.5,0,0.02,0,0.38,0.24,0.01,0.06,0,0,0,0,0,0,0,GROSSULAR,GARNET,NA,NA,NA
3235,38.41,0.24,18.58,2.71,8.28,36.05,0.05,0.22,0,0.01,0.01,0.41,0.11,0,0.04,0,0,0,0,0,1.25,0,GROSSULAR,GARNET,NA,NA,NA
3236,37.36,0.78,20.33,0.26,8.42,37.22,0,0.03,0.01,0.03,0.03,0.38,0.64,0.02,0.04,0,0,0,0,0,2.73,0,GROSSULAR,GARNET,NA,NA,NA
3237,39.17,0.75,20.33,2.49,9.41,5.11,18.04,0.43,0.02,0.23,0.06,0.02,0.07,0,0.07,0,0,0.01,0,0,1.68,0,GROSSULAR,GARNET,NA,NA,NA
3238,42.67,0.8,21.23,0.34,8.47,4.11,20.6,0.33,0.02,0.5,0.09,0.33,0.23,0,0.11,0,0,0.01,0,0,2.59,0,GROSSULAR,GARNET,NA,NA,NA
3239,38.34,0.31,19.22,1.98,8.54,36.74,0.02,0.39,0.02,0.02,0.03,0.22,0.06,0,0.05,0,0,0,0,0,0.67,0,GROSSULAR,GARNET,NA,NA,NA
3240,39.21,0.25,22.25,0.23,0.83,36.2,0.22,0.21,0.01,0.99,0.08,0.38,0.23,0.01,0.07,0,0,0.13,0,0,1.88,0,GROSSULAR,GARNET,NA,NA,NA
3241,37.43,0.75,20.36,0.27,8.47,37.28,0.02,0.06,0.01,0.03,0.03,0.36,0.61,0.01,0.04,0,0,0,0,0,2.65,0,GROSSULAR,GARNET,NA,NA,NA
3242,39.17,0.01,20.6,0.17,0.78,39.42,0.02,0.06,0.01,0.04,0.02,0.41,0.36,0.01,0.03,0,0,0.06,0,0,0.88,0,GROSSULAR,GARNET,NA,NA,NA
3243,39.17,0.02,20.54,0.14,0.78,39.34,0.02,0.05,0.02,0.04,0.02,0.41,0.32,0.01,0.03,0,0,0.07,0,0,0.73,0,GROSSULAR,GARNET,NA,NA,NA
3244,39.69,0.03,22.85,0.22,0.94,36.69,0.03,0.13,0.02,0.06,0.05,0.39,0.16,0,0.01,0,0,0.03,0,0,0.2,0,GROSSULAR,GARNET,NA,NA,NA
3245,40.44,0.01,22.27,0.44,1.19,36.24,0.02,0.09,0.04,0.06,0.06,0.41,0.12,0.01,0,0,0,0,0,0,0.21,0,GROSSULAR,GARNET,NA,NA,NA
3246,36.56,0.6,14.38,0.75,11.31,35.98,0,0.55,0.06,0.17,0.03,0.32,0.41,0.01,0.1,0,0,0.04,0,0,1.65,0,GROSSULAR,GARNET,NA,NA,NA
3247,39.2,0.04,22.65,0.22,0.76,37.19,0.03,0.15,0.01,0.04,0.04,0.38,0.15,0,0.01,0,0,0.07,0,0,0.48,0,GROSSULAR,GARNET,NA,NA,NA
3248,39.8,0,20.59,0.43,0.64,39.5,0.01,0.07,0,0.02,0.05,0.38,0.06,0.01,0.01,0,0,0.08,0,0,0.65,0,GROSSULAR,GARNET,NA,NA,NA
3249,39.15,0.84,20.06,2.83,9.17,5.2,18.46,0.38,0.02,0.21,0.05,0.09,0.07,0,0.07,0,0,0.01,0,0,1.47,0,GROSSULAR,GARNET,NA,NA,NA
3250,37.05,1.14,16.82,1.1,9.13,36.63,0.15,0.4,0.02,0.1,0.03,0.38,0.53,0.01,0.04,0,0,0.04,0,0,0.72,0,GROSSULAR,GARNET,NA,NA,NA
3251,42.21,0.67,20.96,1.58,8.19,4.16,21.01,0.17,0.07,0.11,0.06,0,0,0,0.05,0,0,0.01,0,0,1.99,0,PYROPE,GARNET,NA,NA,NA
3252,41.49,0.05,21.41,3.21,8.48,4.81,20.2,0.18,0,0,0.02,0,0.04,0,0.01,0,0,0.02,0,0,0.55,0,PYROPE,GARNET,NA,NA,NA
3253,41.06,0.33,18.16,6.83,6.97,5.59,20.06,0.41,0,0.08,0.04,0,0,0,0.01,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3254,42.35,0.19,21.24,2.99,9.05,4.45,19.86,0.51,0,0.06,0.02,0,0.02,0,0.01,0,0,0,0,0,0.42,0,PYROPE,GARNET,NA,NA,NA
3255,41.51,0.55,22.99,0,15.33,3.24,16.84,0.33,0,0,0.01,0,0.12,0,0,0,0,0,0,0,2.72,0,PYROPE,GARNET,NA,NA,NA
3256,42.66,0.77,21.74,0.69,10.26,3.63,19.99,0.21,0,0.1,0.07,0,0,0,0.04,0,0,0.01,0,0,2.86,0,PYROPE,GARNET,NA,NA,NA
3257,42.72,1.44,20.94,1.81,9.25,4.66,20.16,0.37,0.01,0,0.03,0,0,0,0.01,0,0,0,0,0,0.73,0,PYROPE,GARNET,NA,NA,NA
3258,41.55,0,20.47,4.54,8.08,4.21,20.03,0.48,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0.33,0,PYROPE,GARNET,NA,NA,NA
3259,42.53,0.63,20.44,2.38,7.94,4.51,21.11,0.26,0,0.05,0.02,0,0.07,0,0.01,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3260,42.86,0.06,20.97,4.37,5.39,1.67,24.83,0.26,0.02,0.04,0,0,0.03,0,0.01,0,0,0.1,0,0,0.32,0,PYROPE,GARNET,NA,NA,NA
3261,41.69,0.35,19.87,5.14,6.65,5.79,20.61,0.35,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0.44,0,PYROPE,GARNET,NA,NA,NA
3262,42.12,0.2,22.51,0.59,8.38,3.78,20.78,0.25,0.01,0.03,0.02,0,0,0,0,0,0,0.03,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3263,41.83,0.05,21.67,3.6,7.74,4.99,19.93,0.35,0.01,0.08,0.01,0,0,0,0.01,0,0,0.05,0,0,0.36,0,PYROPE,GARNET,NA,NA,NA
3264,42.59,0.27,17.92,6.58,5.95,5.31,20.89,0.22,0,0,0.04,0.36,0.05,0,0.05,0,0,0,0,0,0.75,0,PYROPE,GARNET,NA,NA,NA
3265,38.52,1.35,12.55,11.21,7.58,7.46,20.42,0.31,0.4,0.56,0.05,0,0.95,0.02,0.01,0,0,0.03,0,0,0.25,0,PYROPE,GARNET,NA,NA,NA
3266,41.6,1.05,20.03,2.89,8.17,4.89,20.14,0.27,0,0.1,0.02,0,0.12,0,0,0,0,0,0,0,0.65,0,PYROPE,GARNET,NA,NA,NA
3267,41.51,1.42,21.21,0.46,9.65,4.73,20.01,0.3,0.02,0.03,0.05,0,0.07,0,0.05,0,0,0.01,0,0,0.73,0,PYROPE,GARNET,NA,NA,NA
3268,42.66,0.17,20.24,4.75,7.65,4.94,19.75,0.84,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0.14,0,PYROPE,GARNET,NA,NA,NA
3269,41.78,0.08,21.45,2.65,8.42,4.78,20.07,0.43,0.01,0.1,0.01,0,0.02,0,0,0,0,0.05,0,0,0.62,0,PYROPE,GARNET,NA,NA,NA
3270,42.41,0.33,20.38,5.25,6.52,4.55,20,0.36,0,0.07,0.04,0,0,0,0,0,0,0.01,0,0,0.33,0,PYROPE,GARNET,NA,NA,NA
3271,41.55,0.71,22.06,1.73,8.72,4.46,20.66,0.24,0,0,0.04,0,0.12,0,0,0,0,0,0,0,0.83,0,PYROPE,GARNET,NA,NA,NA
3272,42.08,0.24,20.13,4.25,8.2,5.14,19.61,0.37,0.01,0.05,0.03,0,0,0,0.03,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3273,41.15,0.16,21.17,2.91,8.55,4.44,19.74,0.4,0,0.04,0.03,0,0,0,0.04,0,0,0.01,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3274,43.89,0.68,20.81,2.01,8.22,4.49,19.74,0.28,0,0.14,0.07,0,0.05,0,0.02,0,0,0.02,0,0,0.6,0,PYROPE,GARNET,NA,NA,NA
3275,41.36,0.08,20.46,3.55,9.39,4.56,19.45,0.4,0,0.04,0.06,0,0,0,0.06,0,0,0.01,0,0,0.63,0,PYROPE,GARNET,NA,NA,NA
3276,41.39,0.77,17.3,8.29,6,6.23,19.91,0.27,0,0,0.01,0,0.04,0,0.03,0,0,0,0,0,0.31,0,PYROPE,GARNET,NA,NA,NA
3277,42.01,0,21.24,4.47,7.64,5.53,19.12,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,PYROPE,GARNET,NA,NA,NA
3278,41.54,0.18,19.75,4.71,8.14,4.63,19.66,0.49,0.01,0.05,0.02,0,0,0,0.01,0,0,0.02,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3279,41.79,0.08,22.62,2,6.97,5.27,20.97,0.17,0.01,0.12,0.03,0,0.12,0,0.02,0,0,0.04,0,0,1.51,0,PYROPE,GARNET,NA,NA,NA
3280,40.94,0.44,15.57,9.9,7.23,6.98,18.83,0.27,0.01,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3281,42.02,0.29,19.85,3.62,7.59,4.72,20.34,0.33,0.01,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3282,41.77,0.58,19.44,4.78,7.44,5.14,20.56,0.31,0,0.04,0.02,0,0,0,0.03,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3283,42.04,0.06,21.24,4.15,5.82,4.8,21.72,0.27,0,0,0.05,0,0.01,0,0.01,0,0,0.03,0,0,0.46,0,PYROPE,GARNET,NA,NA,NA
3284,42.27,0.06,16.82,8.51,6.53,6.29,17.23,0.34,0,0.03,0.03,0,0,0,0.02,0,0,0.01,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3285,41.24,1.03,19.31,4.11,9.13,5.3,19.45,0.52,0,0.06,0.03,0,0.03,0,0.02,0,0,0,0,0,0.46,0,PYROPE,GARNET,NA,NA,NA
3286,41.85,0.35,22.67,2.31,7.12,4.56,21.2,0.3,0,0,0.02,0,0.07,0,0.02,0,0,0,0,0,0.59,0,PYROPE,GARNET,NA,NA,NA
3287,42.07,0.2,18.6,7.05,7.02,5.55,19.99,0.43,0,0.06,0.04,0,0,0,0.01,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3288,40.96,0.01,19.59,5.82,6.31,5.7,20.59,0.31,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3289,42.64,0.18,22.47,1.66,7.15,4.42,21.36,0.1,0.01,0,0.07,0,0.07,0,0.01,0,0,0,0,0,1.78,0,PYROPE,GARNET,NA,NA,NA
3290,41.43,0.23,21.85,2.92,8.68,4.94,19.38,0.42,0,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3291,40.13,0.43,18.85,4.52,8.22,5.05,21.53,0.46,0.01,0.21,0.05,0,0.09,0,0.05,0,0,0.02,0,0,0.7,0,PYROPE,GARNET,NA,NA,NA
3292,41.86,0.63,20.41,4.39,7.08,5.04,20.99,0.42,0,0,0.03,0,0.07,0,0.02,0,0,0.01,0,0,0.31,0,PYROPE,GARNET,NA,NA,NA
3293,40.81,0.11,16.05,10.31,5.82,7.82,19.05,0.27,0.01,0.03,0.03,0,0,0,0,0,0,0.06,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3294,42.4,0.04,19.95,5.8,6.56,5.57,20.52,0.36,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0.21,0,PYROPE,GARNET,NA,NA,NA
3295,42.46,0.97,21.93,0.37,10.26,4.19,20.67,0.32,0,0.2,0.04,0,0.09,0,0.02,0,0,0.02,0,0,4.93,0,PYROPE,GARNET,NA,NA,NA
3296,42.03,1,21.84,0.22,10.9,4.33,20.8,0.23,0,0.03,0.1,0,0.09,0,0.08,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3297,42.26,0.05,20.39,4.68,7.07,5.17,21.47,0.36,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,PYROPE,GARNET,NA,NA,NA
3298,41.65,0.25,19.55,5.67,8.57,5.44,19.26,0.52,0.01,0.04,0.02,0,0,0,0.01,0,0,0,0,0,0.14,0,PYROPE,GARNET,NA,NA,NA
